Customer Name	Date of Birth	Aadhaar Number	Phone Number	PAN Number	Email	Address	Account Balance (INR)	Number of Credit Cards	Customer Type	Total Transactions	Credit Card Number	Account Number	Joining Date
Arjun Pandey	1964-12-29	2204 5506 5012	+91-9128728463	TRXCK1488C	arjun.pandey248@rediffmail.com	204 Mahalakshmi Layout, Chennai, Tamil Nadu - 685706	210050.15	3	Business	147	4265-4235-1161-5594	17761556863	2020-08-10
Priya Shah	1965-08-07	9971 7201 2291	+91-8149349722	VQWPS1750R	priya.shah801@hotmail.com	888 Brigade Road, Bengaluru, Karnataka - 452953	190373.05	3	Student	88	5534-1928-3276-4835	17627861561	2010-04-10
Rahul Ghosh	1961-06-09	8594 6168 7572	+91-9018883684	FYWIR7482X	rahul.ghosh668@outlook.com	143 Nungambakkam, Kolkata, West Bengal - 529303	372622.00	4	Student	387	5965-3287-1012-2691	63192170565	2020-12-29
Anjali Mehta	1971-04-12	9955 1188 2876	+91-7782070937	TTIHE1053Y	anjali.mehta906@hotmail.com	520 Connaught Place, Mysuru, Karnataka - 455789	435324.03	2	Business	316	4252-8809-5701-5430	18928193543	2021-10-19
Vikram Ghosh	1963-02-07	8230 9727 3060	+91-9498550256	MOGWL4470Y	vikram.ghosh783@yahoo.com	688 Adyar, Coimbatore, Tamil Nadu - 595779	219330.99	4	Senior Citizen	66	4315-0983-9301-0310	56641778881	2003-03-06
Sneha Mehta	1970-09-04	4281 8953 4510	+91-8127758595	SWOGM7669E	sneha.mehta109@outlook.com	421 Powai, Bhopal, Madhya Pradesh - 644855	431986.46	0	Premium	36	N/A	26585757278	2011-02-25
Kiran Krishnan	1968-07-13	6393 8350 3296	+91-8534627347	HGYLW2604B	kiran.krishnan563@gmail.com	171 Brigade Road, Bengaluru, Karnataka - 613078	243077.74	1	Senior Citizen	467	4260-6474-6872-3430	16623677968	2014-01-25
Deepa Sharma	1962-04-01	6785 8811 9238	+91-7181286543	EYCEP4853K	deepa.sharma974@rediffmail.com	609 Hebbal, Jaipur, Rajasthan - 420836	309881.06	3	Business	294	5435-3462-4751-0799	27163103565	2003-04-15
Arun Shah	1969-07-24	6144 5345 3170	+91-8719233013	WJEVS9666A	arun.shah846@rediffmail.com	962 Salt Lake, Coimbatore, Tamil Nadu - 470407	132600.73	0	Business	84	N/A	49824432345	2009-06-12
Kavya Mishra	1975-05-19	3667 5325 9280	+91-8343704923	XVCLH1058I	kavya.mishra143@hotmail.com	565 Whitefield, Pune, Maharashtra - 624231	280672.98	0	Premium	488	N/A	31062212842	2001-08-13
Suresh Ghosh	1976-07-24	6771 3426 8041	+91-9415614174	IXUWX4441R	suresh.ghosh692@gmail.com	906 Mahalakshmi Layout, Bhopal, Madhya Pradesh - 613058	486931.59	1	Regular	447	4260-2563-4216-0733	59221627604	2013-09-09
